n  time in seconds  nu1  nu2  gamma 
4  0.000298166      1    1    1      
4  0.000677916      1    1    2      
4  0.001533         1    1    3      
4  0.00305796       1    1    4      
4  0.00547325       1    1    5      
4  0.00861096       1    1    6      
4  0.0133743        1    1    7      
4  0.0191347        1    1    8      
4  0.0260836        1    1    9      
4  0.0350388        1    1    10     
