n  time in seconds  nu1  nu2  gamma 
7  0.00995233       1    1    2      
7  0.00893313       2    1    2      
7  0.008394         3    1    2      
7  0.00918          4    1    2      
7  0.00812875       5    1    2      
7  0.00870413       6    1    2      
7  0.00930617       7    1    2      
7  0.00982838       8    1    2      
7  0.0103355        9    1    2      
7  0.00908554       10   1    2      
7  0.00959954       11   1    2      
7  0.00998671       12   1    2      
7  0.0106389        13   1    2      
7  0.0108284        14   1    2      
7  0.0112575        15   1    2      
7  0.0117572        16   1    2      
7  0.0125616        17   1    2      
7  0.0126286        18   1    2      
7  0.013411         19   1    2      
7  0.0135538        20   1    2      
7  0.014104         21   1    2      
7  0.014497         22   1    2      
7  0.0151963        23   1    2      
7  0.0156972        24   1    2      
7  0.0160269        25   1    2      
7  0.016218         26   1    2      
7  0.0170149        27   1    2      
7  0.0170742        28   1    2      
7  0.01754          29   1    2      
7  0.018301         30   1    2      
7  0.0184494        31   1    2      
7  0.0189657        32   1    2      
7  0.0193545        33   1    2      
7  0.0200523        34   1    2      
7  0.0205223        35   1    2      
7  0.02065          36   1    2      
7  0.0213394        37   1    2      
7  0.0219802        38   1    2      
7  0.0225995        39   1    2      
7  0.0224825        40   1    2      
7  0.0230574        41   1    2      
7  0.0236645        42   1    2      
7  0.0237356        43   1    2      
7  0.0245592        44   1    2      
7  0.0250308        45   1    2      
7  0.0253289        46   1    2      
7  0.0205735        47   1    2      
7  0.0208145        48   1    2      
7  0.0211776        49   1    2      
7  0.0218735        50   1    2      
