n  time in seconds  nu1  nu2  gamma 
7  0.00630421       1    1    1      
7  0.010635         1    1    2      
7  0.0456691        1    1    3      
7  0.191493         1    1    4      
7  0.642452         1    1    5      
7  1.77423          1    1    6      
7  4.29031          1    1    7      
7  9.26296          1    1    8      
7  18.3557          1    1    9      
7  34.6632          1    1    10     
