n  time in seconds  nu1  nu2  gamma  
4  0.000224083      2    1    2        
7  0.00247142       2    1    2      
7  0.00333633       2    1    2      
7  0.00252696       2    1    2      
7  0.00264988       2    1    2      
7  0.00254121       2    1    2      
7  0.00253513       2    1    2      
7  0.00273683       2    1    2      
7  0.00269804       2    1    2      
7  0.00267288       2    1    2      
7  0.0025705        2    1    2      
7  0.00254271       2    1    2      
